[Timestamp: 3] CPU time: 0 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 0.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 6] CPU time: 3000000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 6136 ms, Rx time: 1823160 ms, Energy (TX): 0.6075 J, Energy (RX): 90.2464 J, Energy (CPU): 49.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 9] CPU time: 1705032 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 7232 ms, Rx time: 984096 ms, Energy (TX): 0.7160 J, Energy (RX): 261.3137 J, Energy (CPU): 99.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 12] CPU time: 410065 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 14464 ms, Rx time: 3714864 ms, Energy (TX): 1.4319 J, Energy (RX): 396.4867 J, Energy (CPU): 148.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 15] CPU time: 3410065 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 14464 ms, Rx time: 4138568 ms, Energy (TX): 1.4319 J, Energy (RX): 417.4600 J, Energy (CPU): 198.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 18] CPU time: 2115098 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 18872 ms, Rx time: 3218505 ms, Energy (TX): 1.8683 J, Energy (RX): 584.5178 J, Energy (CPU): 247.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 21] CPU time: 820130 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 18872 ms, Rx time: 1544226 ms, Energy (TX): 1.8683 J, Energy (RX): 714.2418 J, Energy (CPU): 297.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 24] CPU time: 3820130 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 28384 ms, Rx time: 1489122 ms, Energy (TX): 2.8100 J, Energy (RX): 924.1151 J, Energy (CPU): 346.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 27] CPU time: 2525163 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 28384 ms, Rx time: 3239746 ms, Energy (TX): 2.8100 J, Energy (RX): 1010.7709 J, Energy (CPU): 396.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 30] CPU time: 1230196 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 37520 ms, Rx time: 604244 ms, Energy (TX): 3.7145 J, Energy (RX): 1305.5154 J, Energy (CPU): 445.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 33] CPU time: 4230196 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 42248 ms, Rx time: 1111580 ms, Energy (TX): 4.1826 J, Energy (RX): 1330.6285 J, Energy (CPU): 495.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 36] CPU time: 2935228 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 42248 ms, Rx time: 3635948 ms, Energy (TX): 4.1826 J, Energy (RX): 1455.5847 J, Energy (CPU): 544.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 39] CPU time: 1640261 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 46720 ms, Rx time: 3426884 ms, Energy (TX): 4.6253 J, Energy (RX): 1657.8370 J, Energy (CPU): 594.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 42] CPU time: 345294 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 51448 ms, Rx time: 2450445 ms, Energy (TX): 5.0934 J, Energy (RX): 1822.1041 J, Energy (CPU): 643.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 45] CPU time: 3345294 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 55920 ms, Rx time: 2267750 ms, Energy (TX): 5.5361 J, Energy (RX): 2025.6616 J, Energy (CPU): 693.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 48] CPU time: 2050327 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 60840 ms, Rx time: 1363311 ms, Energy (TX): 6.0232 J, Energy (RX): 2193.4927 J, Energy (CPU): 742.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 51] CPU time: 755359 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 65568 ms, Rx time: 3830391 ms, Energy (TX): 6.4912 J, Energy (RX): 2315.6130 J, Energy
