[Timestamp: 2] CPU time: 0 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 0.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 4] CPU time: 2375000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 39.1875 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 7] CPU time: 455032 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 78.3750 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 9] CPU time: 2830032 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 117.5625 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 11] CPU time: 910065 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 156.7500 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 14] CPU time: 3285065 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 195.9375 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 16] CPU time: 1365098 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 235.1250 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 19] CPU time: 3740098 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 274.3125 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 21] CPU time: 1820130 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 313.5000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 23] CPU time: 4195130 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 352.6875 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 26] CPU time: 2275163 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 391.8750 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 28] CPU time: 355196 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 431.0625 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 30] CPU time: 2730196 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 470.2500 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 33] CPU time: 810228 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 509.4375 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 35] CPU time: 3185228 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 5200 ms, Rx time: 0 ms, Energy (TX): 0.5148 J, Energy (RX): 0.0000 J, Energy (CPU): 548.6250 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 38] CPU time: 1265261 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 10400 ms, Rx time: 2577800 ms, Energy (TX): 1.0296 J, Energy (RX): 127.6011 J, Energy (CPU): 587.8125 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 40] CPU time: 3640261 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 13200 ms, Rx time: 2162632 ms, Energy (TX): 1.3068 J, Energy (RX): 319.6512 J, Energy (CPU): 627.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 42] CPU time: 1720294 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 18400 ms, Rx t
