[Timestamp: 0] CPU time: 0 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 0.0000 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 0] CPU time: 264000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 4.3560 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 0] CPU time: 528000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 8.7120 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 1] CPU time: 792000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 13.0680 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 1] CPU time: 1056000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 17.4240 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 1] CPU time: 1320000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 21.7800 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 1] CPU time: 1584000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 26.1360 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 2] CPU time: 1848000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 30.4920 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 2] CPU time: 2112000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 34.8480 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 2] CPU time: 2376000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 39.2040 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 2] CPU time: 2640000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 43.5600 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 3] CPU time: 2904000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 47.9160 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 3] CPU time: 3168000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 52.2720 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 3] CPU time: 3432000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 56.6280 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 3] CPU time: 3696000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 60.9840 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 4] CPU time: 3960000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 65.3400 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 4] CPU time: 4224000 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Energy (CPU): 69.6960 J, Energy (LPM): 0.0000 J, Energy (Deep LPM): 0.0000 J
[Timestamp: 4] CPU time: 193032 ms, LPM time: 0 ms, Deep LPM time: 0 ms, Tx time: 0 ms, Rx time: 0 ms, Energy (TX): 0.0000 J, Energy (RX): 0.0000 J, Ener
